,client_id,variation
0,9988021,test
1,8320017,test
2,4033851,control
3,1982004,test
4,9294070,control
5,9466803,test
6,3170143,test
7,6651403,control
8,5887227,test
9,2105948,control
10,438567,test
11,2519971,test
12,9814849,control
13,5407849,test
14,7286739,control
15,4446011,control
16,5308474,test
17,2991219,test
18,2354414,test
19,949210,test
20,4229407,control
21,9987707,test
22,2709011,test
23,4507502,test
24,2842481,control
25,2317698,test
26,3013805,test
27,1218661,control
28,2965703,test
29,1712929,control
30,2328234,test
31,800925,control
32,6685654,test
33,8766054,test
34,4726500,test
35,9504867,test
36,1242238,control
37,7800773,test
38,9477476,control
39,1338778,control
40,6584990,control
41,7859827,test
42,7407692,test
43,7040762,control
44,9900469,test
45,5169372,control
46,5267250,control
47,2079440,test
48,5376894,test
49,3751049,control
50,8240010,test
51,6110816,test
52,2550129,test
53,9912156,control
54,7690370,test
55,9885354,test
56,1962381,test
57,229701,control
58,2818303,control
59,6229916,test
60,9358626,control
61,4773291,control
62,4953263,control
63,522661,test
64,3754789,control
65,3066535,control
66,9545426,control
67,4778144,control
68,2000786,control
69,1532932,test
70,9096386,test
71,6986475,control
72,7996704,control
73,2211277,test
74,9268841,test
75,4213800,control
76,1763518,control
77,7485024,test
78,2437471,control
79,1628554,test
80,9744906,test
81,7289266,control
82,3883711,test
83,8123801,test
84,598943,control
85,8491121,test
86,8861901,control
87,6853744,control
88,1404893,control
89,768936,test
90,5408845,test
91,9336495,control
92,4744361,control
93,2397739,test
94,2136502,test
95,7501437,test
96,9628154,control
97,9293919,control
98,5318449,test
99,5022038,test
100,2565373,control
101,5745157,test
102,6653427,test
103,6071019,control
104,632316,test
105,1152171,test
106,8188670,control
107,1021747,test
108,226198,test
109,6216233,control
110,1846219,test
111,2093449,test
112,7902892,test
113,722917,test
114,4747144,control
115,2199722,test
116,2235331,test
117,8313694,control
118,2382696,test
119,2679453,control
120,7276973,control
121,4532572,test
122,8771952,test
123,5256566,control
124,1342790,control
125,9775174,test
126,3703187,test
127,2769120,control
128,6031726,test
129,8870709,control
130,2145511,control
131,461846,control
132,4878112,control
133,843249,test
134,5018154,test
135,9414396,control
136,6650565,control
137,2062199,control
138,6682559,test
139,9516496,test
140,3382939,test
141,7833565,test
142,9448266,test
143,2406356,test
144,7112284,control
145,6141432,control
146,2015197,control
147,5429577,control
148,1636347,control
149,4577314,control
150,3068817,test
151,2358419,test
152,6283739,control
153,8289357,test
154,1423857,control
155,117916,test
156,2810561,test
157,2040881,control
158,6547909,control
159,9774553,test
160,203702,control
161,2336869,control
162,3638107,control
163,391025,control
164,6954534,test
165,7636277,control
166,8100455,test
167,3548541,test
168,2050360,test
169,8675285,test
170,868124,control
171,8241574,test
172,559169,control
173,2276090,control
174,1095432,test
175,3036660,control
176,5546524,control
177,3544855,test
178,7474517,control
179,7212234,test
180,9207047,test
181,452583,control
182,7762269,test
183,7599262,test
184,945176,control
185,7690452,test
186,5537612,test
187,4256611,test
188,2889049,control
189,137412,test
190,171492,test
191,668996,control
192,8076294,control
193,8893466,test
194,4727155,test
195,4493573,test
196,2797397,control
197,6480779,control
198,257840,test
199,7340414,control
200,5221768,test
201,2306578,test
202,9700346,test
203,192518,test
204,5163125,control
205,5821983,control
206,1884538,control
207,902895,test
208,841242,control
209,872142,control
210,3480918,test
211,8203999,test
212,617840,control
213,1929698,control
214,8963925,test
215,7758940,test
216,8319726,test
217,298590,test
218,2856502,test
219,6930182,test
220,965266,control
221,2465098,test
222,1667380,test
223,8701900,test
224,5133382,test
225,913704,test
226,1519456,test
227,8424645,control
228,7284366,test
229,1933359,test
230,4506445,test
231,8366788,test
232,7214811,test
233,6819326,control
234,2475049,control
235,6394423,test
236,3081313,control
237,9292160,test
238,493311,control
239,4470019,test
240,6442081,test
241,8416851,control
242,1938076,test
243,1907109,test
244,2852997,control
245,7979476,test
246,5255030,test
247,3633784,test
248,7161996,test
249,9707270,control
250,4772716,control
251,9888375,control
252,1161478,test
253,7669299,test
254,3827180,control
255,1970830,control
256,1640688,control
257,676552,test
258,3399501,test
259,3543788,test
260,7902599,test
261,8068308,control
262,4638153,control
263,1788838,control
264,693101,test
265,6520285,test
266,9997114,control
267,3286605,control
268,1751757,test
269,1064690,control
270,2038707,control
271,297472,control
272,2160702,control
273,2289897,control
274,4657902,test
275,6960009,control
276,6665317,test
277,2057773,control
278,7523181,control
279,5324253,test
280,860745,control
281,5340072,test
282,5226626,test
283,4520186,test
284,219230,control
285,3369137,control
286,7479054,control
287,4244891,test
288,4384098,control
289,7582150,control
290,8308363,test
291,8165914,test
292,3520993,control
293,5645966,control
294,9378146,control
295,148369,test
296,5192659,test
297,7007069,control
298,127921,test
299,3310785,control
300,7423412,control
301,8279228,test
302,588240,control
303,7699381,control
304,7046133,control
305,9364005,test
306,5459195,test
307,6442655,test
308,7449461,test
309,4963381,test
310,6456062,control
311,4823947,control
312,8860992,control
313,530654,control
314,3347759,control
315,7873338,control
316,169185,test
317,6980919,test
318,6519269,test
319,1638971,test
320,7984549,test
321,4137841,test
322,459221,test
323,3430793,test
324,4853470,test
325,8696517,control
326,5751565,test
327,3968370,control
328,1718250,test
329,6058534,test
330,6597561,control
331,6098661,test
332,8861365,test
333,2346575,test
334,7973780,control
335,5119497,control
336,2532775,test
337,3155140,control
338,924852,test
339,8330343,test
340,8607482,test
341,4827059,control
342,4785260,test
343,4778491,test
344,7200160,test
345,304982,control
346,7177069,test
347,9059531,control
348,3130496,test
349,7705990,test
350,133101,control
351,2790745,test
352,2498676,test
353,8988721,control
354,6224299,control
355,3217890,control
356,9403921,control
357,2356366,control
358,453167,control
359,372523,control
360,2611324,test
361,8766886,test
362,3106431,test
363,5615453,test
364,7087847,control
365,8760103,test
366,5786954,test
367,3175977,test
368,5124813,test
369,7221996,test
370,7422759,control
371,8609229,test
372,9176963,test
373,589292,test
374,5417457,control
375,863704,control
376,117276,test
377,7441896,control
378,7763445,test
379,7359292,test
380,4101033,control
381,1180583,control
382,246429,test
383,395074,test
384,6006542,test
385,1424799,test
386,4251309,test
387,5026927,test
388,8512093,test
389,8959766,test
390,413157,control
391,7448926,control
392,806192,test
393,1542033,test
394,3432043,test
395,1406408,test
396,4694039,test
397,2155192,test
398,2657900,control
399,4514754,control
400,1673947,control
401,4961256,test
402,3413971,control
403,2323637,test
404,1209140,test
405,85097,control
406,2262795,control
407,4501407,test
408,5593703,test
409,1461831,test
410,5867403,test
411,8825647,control
412,2314843,test
413,219207,test
414,3535465,test
415,4878070,test
416,7337058,control
417,3498908,control
418,77276,test
419,4630285,control
420,5667617,test
421,8184247,control
422,7787684,control
423,4247007,control
424,7644707,test
425,8620721,control
426,1818956,control
427,2211868,control
428,5437254,test
429,3584819,control
430,6303538,control
431,897477,control
432,8003648,control
433,5456658,control
434,3846126,test
435,5673767,test
436,2558586,test
437,4008787,test
438,6917138,test
439,2333006,control
440,9067031,test
441,7761694,test
442,2043345,test
443,4209246,test
444,5238758,test
445,1373405,test
446,8277940,control
447,2735635,test
448,5567038,test
449,4239711,control
450,9635244,control
451,2798211,test
452,2915635,test
453,947738,test
454,3444839,test
455,9797297,control
456,5176958,control
457,759780,test
458,4985317,test
459,3910595,test
460,6688350,test
461,6405208,test
462,2986194,test
463,1651697,control
464,6503101,test
465,9103724,control
466,2561883,test
467,7873226,control
468,9922958,test
469,323950,control
470,932489,test
471,6781849,control
472,467861,test
473,7430424,control
474,7458004,control
475,8753284,test
476,9052277,test
477,1428836,test
478,2480352,test
479,5896556,control
480,3716868,test
481,993682,control
482,4036374,control
483,1330036,test
484,6325731,test
485,8750191,control
486,1720728,test
487,9004679,control
488,4342700,control
489,8723963,test
490,2458751,test
491,5203477,test
492,6405391,test
493,2374507,test
494,3011265,control
495,3029315,test
496,9164248,test
497,6450029,control
498,7045324,test
499,3582059,test
500,6773537,test
501,1314809,control
502,2615801,test
503,7375067,control
504,7159966,test
505,4575187,test
506,667534,test
507,8604038,control
508,2617114,control
509,3436975,control
510,119599,test
511,7574730,test
512,3362712,control
513,42296,control
514,3695514,control
515,1192384,control
516,4590361,control
517,5543024,test
518,7546085,test
519,3072060,test
520,1928906,control
521,512833,control
522,9089805,control
523,5397802,test
524,2888193,control
525,4778460,control
526,6199584,test
527,7192558,test
528,9102754,test
529,3576255,test
530,6346672,control
531,1274510,test
532,8283444,control
533,3519145,test
534,4390568,control
535,5694063,test
536,3602152,test
537,4065760,test
538,69568,test
539,2420923,test
540,5848027,control
541,6522942,test
542,1272344,test
543,8957739,test
544,8337830,control
545,572617,test
546,7744581,test
547,3045158,control
548,6747525,control
549,7258442,control
550,7746715,test
551,1486118,control
552,3563844,test
553,9493365,test
554,985881,test
555,9792423,test
556,7037852,control
557,6767637,control
558,8735726,control
559,5914359,test
560,1983898,control
561,8930597,control
562,1892008,control
563,9889913,test
564,1468125,control
565,3025507,control
566,529710,test
567,9842475,control
568,4343885,control
569,4876132,test
570,7829568,test
571,8472274,test
572,7475482,control
573,6371350,test
574,838584,test
575,8526665,control
576,9865882,control
577,4717090,control
578,1289178,test
579,3412472,control
580,6766816,test
581,6774011,test
582,3649806,test
583,1034218,test
584,4448805,control
585,3766837,test
586,9231655,control
587,6296222,test
588,2200779,test
589,5027124,control
590,1432979,control
591,3999559,test
592,3671491,control
593,3179230,test
594,9748979,control
595,3590487,test
596,8874319,test
597,8691226,test
598,9513138,control
599,7884558,test
600,1090478,test
601,1304240,test
602,2681612,control
603,851930,control
604,1344982,test
605,5171271,test
606,6602680,test
607,2447231,test
608,5631396,test
609,6833110,control
610,4960901,control
611,2189750,test
612,9455754,test
613,209511,control
614,741785,control
615,2855888,control
616,9083686,control
617,2645953,control
618,903457,control
619,3039540,test
620,4730612,test
621,2763314,control
622,3453411,test
623,5212054,control
624,1344819,control
625,8681644,control
626,8125499,test
627,7271587,test
628,964596,test
629,2675819,control
630,8852099,control
631,7465287,test
632,8132181,test
633,5759626,test
634,2900782,control
635,2963107,control
636,8862044,control
637,7433366,control
638,133487,control
639,7470213,test
640,6809622,test
641,1616582,test
642,9159465,test
643,494597,test
644,4503552,control
645,3089722,control
646,9641810,control
647,985046,test
648,192160,test
649,6233261,test
650,6332820,control
651,2623927,control
652,8839288,test
653,495241,test
654,5195063,test
655,7878552,control
656,2312741,test
657,7633966,control
658,6717348,test
659,3502824,control
660,614865,test
661,7702732,test
662,1711408,test
663,1399670,control
664,157106,test
665,1696504,control
666,4243376,test
667,2606054,test
668,4369578,test
669,7597104,control
670,9221129,test
671,8225520,test
672,595691,test
673,6464033,test
674,4211505,control
675,9335333,test
676,1192407,test
677,9824178,test
678,1087333,test
679,3982600,control
680,1290643,test
681,728102,test
682,763504,test
683,629229,test
684,2892822,test
685,219038,test
686,3387907,control
687,951327,test
688,4857096,control
689,7258987,test
690,5240348,control
691,9219098,control
692,6521093,control
693,3421393,control
694,2025761,control
695,3119062,test
696,6740819,control
697,6053599,control
698,7606536,control
699,3206726,control
700,2128160,control
701,2019649,test
702,1194245,control
703,2681771,test
704,8295735,control
705,312984,control
706,2839247,control
707,9661060,test
708,5732744,control
709,3973582,test
710,4620465,test
711,6115514,test
712,6479455,test
713,5363445,control
714,6981798,control
715,8031718,control
716,1262291,control
717,8770403,control
718,1348442,control
719,566137,test
720,3861702,control
721,4693102,control
722,5398009,test
723,5015824,test
724,9542428,control
725,8348798,test
726,4608580,control
727,2263719,control
728,2612667,test
729,1213524,test
730,1344421,test
731,8555070,control
732,2787512,control
733,9534176,control
734,2588637,test
735,2615052,test
736,965179,test
737,273469,test
738,6651108,test
739,7460349,control
740,3197853,test
741,844271,test
742,8774888,test
743,6382757,test
744,8501430,control
745,6724494,test
746,7804581,control
747,8095423,control
748,8264879,test
749,6374406,control
750,2717233,test
751,9837096,control
752,4281763,test
753,9112089,control
754,7887156,control
755,743037,control
756,3825646,control
757,6948287,test
758,3060095,test
759,9696533,control
760,4701896,test
761,4743022,control
762,2491891,test
763,589393,test
764,6033805,control
765,7690775,control
766,466526,control
767,8305562,test
768,3319690,test
769,5253835,test
770,5688104,control
771,9589889,test
772,9513516,test
773,1410997,control
774,6682361,test
775,390650,test
776,9914877,test
777,1908164,test
778,1428184,test
779,6662941,control
780,625038,control
781,8127978,test
782,4497644,test
783,2928968,test
784,2459641,test
785,2502567,control
786,6809452,test
787,2570257,control
788,1900836,test
789,9887206,test
790,8117339,control
791,9292612,control
792,4589317,test
793,9600289,test
794,8644587,test
795,3515019,test
796,1399011,test
797,3859509,test
798,9624621,control
799,1411452,test
800,9451729,test
801,7158922,test
802,2824464,test
803,7355987,test
804,4290599,test
805,195455,test
806,5941398,test
807,4855745,test
808,5670374,control
809,4889645,test
810,7393980,test
811,5754741,test
812,955190,test
813,5520127,control
814,8360249,control
815,4825054,control
816,431615,test
817,6405406,test
818,5619517,control
819,4452301,test
820,9762839,test
821,2044540,control
822,5080437,test
823,8213521,control
824,9937888,test
825,9786441,test
826,5593356,control
827,6217407,test
828,4883446,test
829,8655162,test
830,1622925,test
831,5867862,test
832,7916237,test
833,2080737,test
834,3350408,test
835,1011972,control
836,520210,test
837,6559023,control
838,1835426,test
839,1859491,test
840,8158588,test
841,1787233,test
842,1255014,control
843,3314416,control
844,8121690,test
845,8219792,control
846,3252556,test
847,4577049,control
848,9795698,test
849,4202537,control
850,8792675,control
851,1113976,test
852,6605778,test
853,3030274,control
854,5166590,test
855,5395303,control
856,122493,control
857,8607353,test
858,9309880,test
859,6219485,test
860,6779709,test
861,1181698,control
862,8627900,test
863,9265934,control
864,9441056,control
865,9017041,control
866,2815061,control
867,6330488,test
868,8550901,control
869,6586655,control
870,435580,control
871,6461191,control
872,5551581,test
873,9983987,test
874,8006148,test
875,6670730,control
876,6692080,test
877,3861021,control
878,4332065,test
879,5802843,test
880,4052287,control
881,8375573,test
882,8512863,control
883,9749944,control
884,9615900,test
885,7274800,test
886,5819620,control
887,1790923,control
888,6097361,control
889,8314579,test
890,9286966,test
891,8961589,test
892,7105238,control
893,3071281,test
894,981261,control
895,987879,test
896,9652308,test
897,3976933,control
898,8544465,test
899,8645809,test
900,7278903,test
901,9455359,test
902,8627399,control
903,162867,test
904,1033888,control
905,7512282,control
906,3875133,test
907,5296568,test
908,5569364,control
909,483740,test
910,6958432,test
911,4533589,test
912,7977593,control
913,8470878,control
914,2460950,test
915,5028215,test
916,7030145,test
917,7303592,control
918,2465426,control
919,9007970,test
920,1333964,test
921,4129281,test
922,4635518,control
923,8605014,control
924,9382137,control
925,5328442,control
926,7932118,test
927,3028950,test
928,6148802,test
929,5955812,test
930,2923234,test
931,2528424,test
932,3722490,test
933,9296214,test
934,2529822,test
935,3337387,test
936,4870929,test
937,2619480,control
938,7421893,control
939,3725888,test
940,9406425,test
941,2529383,test
942,6724871,test
943,9322129,test
944,9202764,control
945,5209141,test
